Data_entry_person,Observation_ID,study,Paper_no,Author,Year,Taxon,Taxon.big,"CO2 treatment (control, uatm)","CO2 treatment (elevated, uatm)",DeltaCO2,DeltapH,Unit,Treatment,CO2,Food.supply,Food.relative,Food.relative score,Mean,SE,SD_Ambient,95CI,N
Norah,65,15,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,calcification per unit biomass: CaCO3 day-1 mg-2,AmbientLow,Ambient,Low,starvation,0,0.110164,0.010492,0.025700046,,6
Norah,67,17,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,calcification per unit biomass: CaCO3 day-1 mg-2,AmbientHigh,Ambient,High,ad libitum,4,0.110164,0.010492,0.025700046,,6
Norah,65,15,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,calcification per unit biomass: CaCO3 day-1 mg-2,ElevatedLow,Elevated,Low,starvation,0,0.16918,0.020984,0.051400093,,6
Norah,67,17,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,calcification per unit biomass: CaCO3 day-1 mg-2,ElevatedHigh,Elevated,High,ad libitum,4,0.215082,0.039344,0.096372724,,6
Norah,59,11,5,Crook_1,2013,coral,coral,410,770,360,0.24,skeleton dry weight (mg),AmbientLow,Ambient,Low,low maintenance,1,48.8,3.466667,14.70782246,,22
Norah,60,12,5,Crook_1,2013,coral,coral,410,770,360,0.24,skeleton dry weight (mg),AmbientHigh,Ambient,High,plentiful,3,48.8,3.466667,14.70782246,,18
Norah,59,11,5,Crook_1,2013,coral,coral,410,770,360,0.24,skeleton dry weight (mg),ElevatedLow,Elevated,Low,low maintenance,1,5.625,0.535714,2.834732036,,28
Norah,60,12,5,Crook_1,2013,coral,coral,410,770,360,0.24,skeleton dry weight (mg),ElevatedHigh,Elevated,High,plentiful,3,36.8,3.466667,16.62555088,,23
Norah,61,11,5,Crook_2,2013,coral,coral,410,1220,810,0.43,skeleton dry weight (mg),AmbientLow,Ambient,Low,low maintenance,1,48.8,3.466667,14.70782246,,22
Norah,62,12,5,Crook_2,2013,coral,coral,410,1220,810,0.43,skeleton dry weight (mg),AmbientHigh,Ambient,High,plentiful,3,48.8,3.466667,14.70782246,,18
Norah,61,11,5,Crook_2,2013,coral,coral,410,1220,810,0.43,skeleton dry weight (mg),ElevatedLow,Elevated,Low,low maintenance,1,6.964286,0.267857,1.312225948,,24
Norah,62,12,5,Crook_2,2013,coral,coral,410,1220,810,0.43,skeleton dry weight (mg),ElevatedHigh,Elevated,High,plentiful,3,37.86667,2.933333,13.75855133,,22
Norah,75,27,11,Drenkard,2013,Coral,coral,398,1278,880,0.4,Corralite weight (ug),AmbientLow,Ambient,Low,starvation,0,546.6192,19.21708,33.28495893,,3
Norah,76,28,11,Drenkard,2013,Coral,coral,443,1344,901,0.4,Corralite weight (ug),AmbientHigh,Ambient,High,fed,3,546.6192,19.21708,33.28495893,,3
Norah,75,27,11,Drenkard,2013,Coral,coral,398,1278,880,0.4,Corralite weight (ug),ElevatedLow,Elevated,Low,starvation,0,249.8221,6.405694,11.09498747,,3
Norah,76,28,11,Drenkard,2013,Coral,coral,443,1344,901,0.4,Corralite weight (ug),ElevatedHigh,Elevated,High,fed,3,420.6406,29.89324,51.77661048,,3
Norah,63,13,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,calcification per unit cm: mg/cm2*d,AmbientLow,Ambient,Low,starvation,0,1.5,,0.3,,10
Norah,64,14,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,calcification per unit cm: mg/cm2*d,AmbientHigh,Ambient,High,ad libitum,4,1.5,,0.3,,10
Norah,63,13,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,calcification per unit cm: mg/cm2*d,ElevatedLow,Elevated,Low,starvation,0,1.02,,0.23,,10
Norah,64,14,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,calcification per unit cm: mg/cm2*d,ElevatedHigh,Elevated,High,ad libitum,4,1.34,,0.36,,10
Joey,5,5,3,Hettinger,2013,oyster,bivalve,494,1065,571,0.3,total dry weight (ug/larva),AmbientHigh,Ambient,High,natural,3,4.210178034,0.08467,0.19,,5
Joey,7,7,3,Hettinger,2013,oyster,bivalve,539,1094,555,0.3,total dry weight (ug/larva),AmbientLow,Ambient,Low,one tenth,1,4.210178034,0.08467,0.19,,5
Joey,5,5,3,Hettinger,2013,oyster,bivalve,494,1065,571,0.3,total dry weight (ug/larva),ElevatedHigh,Elevated,High,natural,3,3.8993252,0.0605,0.135282113,,5
