"author","C","s_C","n_C","B","s_B","n_B","A","s_A","n_A","AB","s_AB","n_AB","log_AB","log_A","log_B","log_C","lnRR_interaction","sampling_variance_interaction","lnRR_overall_CO2","sampling_variance_overall_CO2","lnRR_overall_food","sampling_variance_overall_food"
"Comeau",8.77465,2.41499,6,3.99296,1.2075,6,9.56338,5.55448,6,4.19014,1.93199,6,1.43273,2.25794,1.38453,2.17187,-0.0378725,0.119522,0.0743837,0.037926,-0.806906,0.0311004
"Crook_1",81.0345,9.05172,23,8.62069,1.2931,34,78.8793,7.75862,23,7.75862,0.862069,38,2.0488,4.36792,2.15417,4.39487,-0.0784047,0.00194979,-0.0342331,0.000800586,-2.27862,0.000497861
"Crook_2",81.0345,9.05172,23,8.62069,1.2931,34,84.9138,5.60345,22,8.18966,1.2931,29,2.10287,4.44164,2.15417,4.39487,-0.0980551,0.00226188,0.0377403,0.000620602,-2.28968,0.000559256
"Drenkard",2132,60.03,3,1385.96,26.32,3,2062,44.19,3,1322,42.39,3,7.1869,7.63143,7.23415,7.66482,-0.0138632,0.000880292,-0.0388228,0.000224863,-0.437459,0.000218467
"Edmunds",6.951,0.439,10,5.1796,0.8204,10,7.561,0.869,10,5.098,0.487,10,1.62885,2.023,1.64473,1.93889,-0.0999974,0.00514112,0.0426372,0.0012076,-0.345009,0.00131181
"Hettinger",0.034772,0.00203929,5,0.030982,0.0109836,5,0.031684,0.0045504,5,0.026702,0.00470692,5,-3.62302,-3.45194,-3.47435,-3.35894,-0.0556673,0.0361639,-0.118844,0.00828751,-0.14156,0.00970882
"Melzner_1",2.6,1.2,4,1.2,0.3,4,3,0.8,4,1.5,0.4,4,0.405465,1.09861,0.182322,0.955511,0.0800427,0.104435,0.169076,0.0363655,-0.729515,0.025155
"Melzner_2",2.6,1.2,4,1.2,0.3,4,2.5,0.4,4,1.1,0.3,4,0.0953102,0.916291,0.182322,0.955511,-0.0477907,0.0938745,-0.0540672,0.0313115,-0.796331,0.0238853
"Melzner_3",2.6,1.2,4,1.2,0.3,4,1.8,0.5,4,0.6,0.2,4,-0.510826,0.587787,0.182322,0.955511,-0.325422,0.115947,-0.459532,0.0390757,-0.893818,0.0318542
"Oddvarsdotter",1.039,0.076,3,0.4367,0.0834,3,0.947,0.061,3,0.464,0.075,3,-0.767871,-0.0544562,-0.828509,0.0382587,0.153353,0.024033,-0.0448338,0.00351356,-0.790706,0.00597176
"Pan",336.982,81.91,50,240.41,81.91,50,339.273,81.9077,50,237.297,81.9077,50,5.46931,5.8268,5.48235,5.82003,-0.0198089,0.00705185,-0.00142464,0.00161224,-0.347572,0.00176279
"Pansch_1",12.8571,1.29445,8,8.37209,0.604078,8,12.7973,0.862969,8,8.49169,0.776672,8,2.13909,2.54924,2.1249,2.5539,0.0188468,0.0035319,0.00281282,0.000937718,-0.41955,0.000885214
"Pansch_3",12.8571,1.29445,8,8.37209,0.604078,8,12.9169,1.03556,8,8.43189,0.517781,8,2.13202,2.55854,2.1249,2.5539,0.00247713,0.0031926,0.00561801,0.000933596,-0.427753,0.000797299
"Pansch_2",3.6412,0.365372,6,2.97674,0.564666,6,3.80066,0.431804,6,2.89701,0.697529,6,1.06368,1.33518,1.09083,1.29231,-0.0700147,0.0194888,0.0119762,0.00422181,-0.236627,0.00485356
"Pansch_4",3.6412,0.365372,6,2.97674,0.564666,6,3.61462,0.564666,6,2.97674,1.0629,6,1.09083,1.28499,1.09083,1.29231,0.00732604,0.0329923,-0.00402415,0.00727848,-0.197826,0.00824373
"Ramajo",0.016055,0.00568459,3,0.009295,0.00399411,3,0.03335,0.00599116,3,0.016656,0.00706677,3,-4.09498,-3.4007,-4.67828,-4.13173,-0.147744,0.174099,0.679364,0.0364784,-0.643841,0.0419288
"Thomsen_1",3875,664,7,1422.22,355.55,7,3342,569.2,7,1806,377,7,7.49887,8.11432,7.25997,8.2623,0.386872,0.0234921,-0.0285739,0.00540079,-0.804508,0.00577912
"Thomsen_2",3875,664,7,1422.22,355.55,7,3471.4,630.9,7,1464.8,263.4,7,7.28947,8.15231,7.25997,8.2623,0.139487,0.0224609,-0.0705864,0.00562863,-0.933986,0.00557651
"Thomsen_3",3875,664,7,1422.22,355.55,7,3379.5,677.5,7,1300.6,74.7,7,7.17058,8.12548,7.25997,8.2623,0.0474246,0.0193356,-0.123863,0.00591831,-0.979954,0.00498623
"Towle",1.30091,0.313341,10,1.38082,0.272908,10,1.32968,0.283018,10,1.00685,0.303231,10,0.00682565,0.284938,0.322679,0.263066,-0.337725,0.0233082,-0.137797,0.00555226,-0.0968909,0.00549559
